Data	Local	venda	itens	tipo_produto
13/jun	loja01	17023,2	328	roupa
14/jun	loja01	18960	395	roupa
15/jun	loja01	8724,8	164	roupa
16/jun	loja01	16779,6	316	roupa
17/jun	loja01	14342,4	249	roupa
18/jun	loja01	26179,2	432	roupa
19/jun	loja01	23432	404	roupa
20/jun	loja01	4888,8	84	roupa
21/jun	loja01	12483,8	241	roupa
22/jun	loja01	13090	238	roupa
23/jun	loja01	13786	244	roupa
24/jun	loja01	3853,2	76	roupa
25/jun	loja01	2611,2	51	roupa
26/jun	loja01	6956,1	131	roupa
27/jun	loja01	25894,4	448	roupa
28/jun	loja01	9993,2	172	roupa
29/jun	loja01	4676,4	108	roupa
30/jun	loja01	22471,8	402	roupa
01/jul	loja01	14542,5	277	roupa
02/jul	loja01	26634	460	roupa
03/jul	loja01	17969,9	299	roupa
04/jul	loja01	21708,6	373	roupa
05/jul	loja01	5074,5	85	roupa
06/jul	loja01	11391,8	206	roupa
07/jul	loja01	22248	432	roupa
08/jul	loja01	18431,7	393	roupa
09/jul	loja01	3267,4	62	roupa
10/jul	loja01	9576	180	roupa
11/jul	loja01	24769,4	457	roupa
12/jul	loja01	3422	59	roupa
13/jul	loja01	27627,6	462	roupa
14/jul	loja01	26425,8	477	roupa
15/jul	loja01	10804	185	roupa
16/jul	loja01	10010	182	roupa
17/jul	loja01	25585	430	roupa
18/jul	loja01	16451,9	311	roupa
19/jul	loja01	15495,9	329	roupa
20/jul	loja01	15628,4	356	roupa
21/jul	loja01	11823,6	236	roupa
22/jul	loja01	24677,6	436	roupa
23/jul	loja01	14809,2	246	roupa
24/jul	loja01	17907,5	325	roupa
25/jul	loja01	4401,6	84	roupa
26/jul	loja01	3958,5	91	roupa
27/jul	loja01	4723,2	96	roupa
28/jul	loja01	9406,8	156	roupa
29/jul	loja01	13743	270	roupa
30/jul	loja01	14749,9	253	roupa
31/jul	loja01	10936,8	248	roupa
01/ago	loja01	20070,3	449	roupa
02/ago	loja01	22769,5	403	roupa
03/ago	loja01	20636	440	roupa
04/ago	loja01	10136,9	167	roupa
05/ago	loja01	11202,3	243	roupa
06/ago	loja01	11477,4	222	roupa
07/ago	loja01	14310	270	roupa
08/ago	loja01	16520	350	roupa
09/ago	loja01	12925	250	roupa
10/ago	loja01	21249,4	362	roupa
11/ago	loja01	19140,3	417	roupa
12/ago	loja01	6481,5	145	roupa
13/ago	loja01	14224,5	261	roupa
14/ago	loja01	12251,2	248	roupa
15/ago	loja01	23058,2	446	roupa
16/ago	loja01	10064	185	roupa
17/ago	loja01	20832	434	roupa
18/ago	loja01	16678,8	369	roupa
19/ago	loja01	6049	115	roupa
20/ago	loja01	17316,6	399	roupa
21/ago	loja01	17886,6	342	roupa
22/ago	loja01	24643,2	408	roupa
23/ago	loja01	8664	152	roupa
24/ago	loja01	13639	230	roupa
25/ago	loja01	13046,5	269	roupa
26/ago	loja01	20473,2	423	roupa
27/ago	loja01	18411	323	roupa
28/ago	loja01	9005,2	188	roupa
29/ago	loja01	18145	382	roupa
30/ago	loja01	23160	400	roupa
31/ago	loja01	13379,1	277	roupa
01/set	loja01	3538	61	roupa
02/set	loja01	11116,2	194	roupa
03/set	loja01	14337	270	roupa
04/set	loja01	18489,9	429	roupa
05/set	loja01	5170,6	103	roupa
06/set	loja01	2992	68	roupa
07/set	loja01	17277,6	313	roupa
08/set	loja01	17028	387	roupa
09/set	loja01	6993,6	124	roupa
10/set	loja01	18070,8	407	roupa
11/set	loja01	18156	356	roupa
12/set	loja01	15874,6	322	roupa
13/set	loja01	5764,5	105	roupa
14/set	loja01	24816	480	roupa
15/set	loja01	2111,3	43	roupa
16/set	loja01	5247	110	roupa
17/set	loja01	14800,5	253	roupa
18/set	loja01	20510	350	roupa
19/set	loja01	15616	320	roupa
20/set	loja01	13980,8	272	roupa
21/set	loja01	2808	60	roupa
22/set	loja01	9968,2	197	roupa
23/set	loja01	12366	270	roupa
24/set	loja01	9032,1	161	roupa
25/set	loja01	19330,4	331	roupa
26/set	loja01	24064,2	461	roupa
27/set	loja01	12796,8	258	roupa
28/set	loja01	13113	235	roupa
29/set	loja01	12982,5	225	roupa
30/set	loja01	5382,4	116	roupa
01/out	loja01	21164	440	roupa
02/out	loja01	5569,2	126	roupa
03/out	loja01	12614,4	219	roupa
04/out	loja01	23952	480	roupa
05/out	loja01	13071,1	263	roupa
06/out	loja01	5050,5	91	roupa
07/out	loja01	13056,6	282	roupa
08/out	loja01	20265	386	roupa
09/out	loja01	18127,2	312	roupa
10/out	loja01	8640	200	roupa
11/out	loja01	12423,6	238	roupa
12/out	loja01	5604,9	119	roupa
13/out	loja01	18075,2	316	roupa
14/out	loja01	1900,6	43	roupa
15/out	loja01	8137,8	137	roupa
16/out	loja01	21896,6	407	roupa
17/out	loja01	6349,8	114	roupa
18/out	loja01	18952,5	399	roupa
19/out	loja01	15225	290	roupa
20/out	loja01	9482,8	157	roupa
21/out	loja01	16012,8	278	roupa
22/out	loja01	24173,2	446	roupa
23/out	loja01	3198	60	roupa
24/out	loja01	19710,6	361	roupa
25/out	loja01	15793,2	321	roupa
26/out	loja01	3024,3	51	roupa
27/out	loja01	14168	253	roupa
28/out	loja01	14121,8	262	roupa
29/out	loja01	19745	359	roupa
30/out	loja01	2964	57	roupa
31/out	loja01	8131,5	139	roupa
01/nov	loja01	9542,7	207	roupa
02/nov	loja01	22523,4	387	roupa
03/nov	loja01	11275	205	roupa
04/nov	loja01	16216,5	285	roupa
05/nov	loja01	15151,5	273	roupa
06/nov	loja01	18703	317	roupa
07/nov	loja01	20862	366	roupa
08/nov	loja01	15196,2	258	roupa
09/nov	loja01	22017,6	417	roupa
10/nov	loja01	19096	385	roupa
11/nov	loja01	20012,8	424	roupa
12/nov	loja01	24416	448	roupa
13/nov	loja01	9715,2	184	roupa
14/nov	loja01	19446,5	437	roupa
15/nov	loja01	20749,5	477	roupa
16/nov	loja01	7362,5	125	roupa
17/nov	loja01	14982,5	325	roupa
18/nov	loja01	12597,6	232	roupa
19/nov	loja01	16187,2	302	roupa
20/nov	loja01	4473,7	77	roupa
21/nov	loja01	11465,4	194	roupa
22/nov	loja01	19800,6	366	roupa
23/nov	loja01	13107,5	245	roupa
24/nov	loja01	5767,3	107	roupa
25/nov	loja01	11857,2	246	roupa
26/nov	loja01	20272,5	425	roupa
27/nov	loja01	14591,7	279	roupa
28/nov	loja01	11945,4	258	roupa
29/nov	loja01	20197,1	427	roupa
30/nov	loja01	17553,6	368	roupa
01/dez	loja01	2602,8	54	roupa
02/dez	loja01	4882,2	103	roupa
03/dez	loja01	13843,7	299	roupa
04/dez	loja01	9791,3	179	roupa
05/dez	loja01	13508,2	274	roupa
06/dez	loja01	11188,8	252	roupa
07/dez	loja01	3363,4	67	roupa
08/dez	loja01	19872	414	roupa
09/dez	loja01	18495	411	roupa
10/dez	loja01	13563,6	254	roupa
11/dez	loja01	10630,4	176	roupa
12/dez	loja01	21766,8	374	roupa
13/dez	loja01	19369,5	349	roupa
14/dez	loja01	9874,6	194	roupa
15/dez	loja01	25185,6	424	roupa
16/dez	loja01	2552,1	47	roupa
17/dez	loja01	2452,8	42	roupa
18/dez	loja01	10208,4	188	roupa
19/dez	loja01	11962,9	227	roupa
20/dez	loja01	19272	365	roupa
21/dez	loja01	21100,4	428	roupa
22/dez	loja01	10357,2	189	roupa
23/dez	loja01	20305,8	389	roupa
24/dez	loja01	19986,4	332	roupa
25/dez	loja01	11869,5	205	roupa
26/dez	loja01	6293,7	111	roupa
27/dez	loja01	13777,6	316	roupa
28/dez	loja01	5364	120	roupa
29/dez	loja01	25396,8	429	roupa
30/dez	loja01	5193,6	96	roupa
31/dez	loja01	23064,3	441	roupa
01/jan	loja02	12808,4	284	roupa
02/jan	loja02	14025,6	288	roupa
03/jan	loja02	22118,8	457	roupa
04/jan	loja02	14299,2	331	roupa
05/jan	loja02	6702,4	118	roupa
06/jan	loja02	3358	73	roupa
07/jan	loja02	15877,5	365	roupa
08/jan	loja02	10600,5	191	roupa
09/jan	loja02	12331	209	roupa
10/jan	loja02	28487	467	roupa
11/jan	loja02	19085	347	roupa
12/jan	loja02	19432,7	391	roupa
13/jan	loja02	13590	300	roupa
14/jan	loja02	7953	165	roupa
15/jan	loja02	7085,4	147	roupa
16/jan	loja02	10528	235	roupa
17/jan	loja02	20938,5	405	roupa
18/jan	loja02	7087,1	131	roupa
19/jan	loja02	9846,2	182	roupa
20/jan	loja02	18119,4	303	roupa
21/jan	loja02	14601	314	roupa
22/jan	loja02	6650	140	roupa
23/jan	loja02	12399,8	238	roupa
24/jan	loja02	15318	333	roupa
25/jan	loja02	13120,6	227	roupa
26/jan	loja02	19427,1	319	roupa
27/jan	loja02	12927,6	228	roupa
28/jan	loja02	20077,2	396	roupa
29/jan	loja02	25216,8	474	roupa
30/jan	loja02	22327,8	398	roupa
31/jan	loja02	10700,4	241	roupa
01/fev	loja02	2205	50	roupa
02/fev	loja02	6075,6	122	roupa
03/fev	loja02	15604,5	309	roupa
04/fev	loja02	17120	320	roupa
05/fev	loja02	2621,4	51	roupa
06/fev	loja02	10172,8	187	roupa
07/fev	loja02	3166,6	71	roupa
08/fev	loja02	6048	135	roupa
09/fev	loja02	7276,2	134	roupa
10/fev	loja02	20159,7	451	roupa
11/fev	loja02	22528	440	roupa
12/fev	loja02	12887	245	roupa
13/fev	loja02	9333	170	roupa
14/fev	loja02	16240,8	303	roupa
15/fev	loja02	8591	142	roupa
16/fev	loja02	16027,1	293	roupa
17/fev	loja02	17641,6	298	roupa
18/fev	loja02	8864	160	roupa
19/fev	loja02	2546,2	58	roupa
20/fev	loja02	20160	350	roupa
21/fev	loja02	5687	110	roupa
22/fev	loja02	6541,6	136	roupa
23/fev	loja02	22215,9	447	roupa
24/fev	loja02	22321,4	466	roupa
25/fev	loja02	19684,7	427	roupa
26/fev	loja02	14158,8	276	roupa
27/fev	loja02	21010,5	435	roupa
28/fev	loja02	13461,6	284	roupa
29/fev	loja02	23406	470	roupa
01/mar	loja02	17395	350	roupa
02/mar	loja02	14688,8	301	roupa
03/mar	loja02	19157,4	367	roupa
04/mar	loja02	3936,8	74	roupa
05/mar	loja02	10217,6	206	roupa
06/mar	loja02	2038,5	45	roupa
07/mar	loja02	9709	190	roupa
08/mar	loja02	19700,1	413	roupa
09/mar	loja02	19131,6	321	roupa
10/mar	loja02	18049,2	356	roupa
11/mar	loja02	10176	192	roupa
12/mar	loja02	19056,8	332	roupa
13/mar	loja02	11970	210	roupa
14/mar	loja02	20237,9	461	roupa
15/mar	loja02	17396,1	379	roupa
16/mar	loja02	15834	273	roupa
17/mar	loja02	8961,4	173	roupa
18/mar	loja02	1900,6	43	roupa
19/mar	loja02	23744,2	454	roupa
20/mar	loja02	11229,5	185	roupa
21/mar	loja02	7844,2	182	roupa
22/mar	loja02	19745	359	roupa
23/mar	loja02	17271	342	roupa
24/mar	loja02	13684,7	281	roupa
25/mar	loja02	1956	40	roupa
26/mar	loja02	4453	73	roupa
27/mar	loja02	2347,2	48	roupa
28/mar	loja02	7584,9	131	roupa
29/mar	loja02	24561,4	454	roupa
30/mar	loja02	19580,4	333	roupa
31/mar	loja02	21560	400	roupa
01/abr	loja02	18726,5	335	roupa
02/abr	loja02	4804,8	84	roupa
03/abr	loja02	12666,5	245	roupa
04/abr	loja02	20442,8	343	roupa
05/abr	loja02	2616,3	57	roupa
06/abr	loja02	18197,6	344	roupa
07/abr	loja02	14464	256	roupa
08/abr	loja02	15684,4	347	roupa
09/abr	loja02	22736,7	401	roupa
10/abr	loja02	22423,4	382	roupa
11/abr	loja02	27376	464	roupa
12/abr	loja02	7009,2	118	roupa
13/abr	loja02	4795,3	79	roupa
14/abr	loja02	18670,6	334	roupa
15/abr	loja02	21672	430	roupa
16/abr	loja02	8377,6	187	roupa
17/abr	loja02	18412,2	318	roupa
18/abr	loja02	16192,8	312	roupa
19/abr	loja02	6934,2	127	roupa
20/abr	loja02	26668,8	463	roupa
21/abr	loja02	22162,8	438	roupa
22/abr	loja02	24076,8	456	roupa
23/abr	loja02	14529	334	roupa
24/abr	loja02	20759,4	342	roupa
25/abr	loja02	18246,8	377	roupa
26/abr	loja02	22134	372	roupa
27/abr	loja02	16724	370	roupa
28/abr	loja02	6925,8	119	roupa
29/abr	loja02	7792,4	161	roupa
30/abr	loja02	10414,6	173	roupa
01/mai	loja02	11155,5	201	roupa
02/mai	loja02	19008	440	roupa
03/mai	loja02	8299,2	152	roupa
04/mai	loja02	7400	125	roupa
05/mai	loja02	28345,4	478	roupa
06/mai	loja02	7452,8	136	roupa
07/mai	loja02	21388,5	441	roupa
08/mai	loja02	18420	307	roupa
09/mai	loja02	17981,6	338	roupa
10/mai	loja02	4484	95	roupa
11/mai	loja02	5594,4	108	roupa
12/mai	loja02	3738,6	62	roupa
13/mai	loja02	23766	466	roupa
14/mai	loja02	12152	248	roupa
15/mai	loja02	4588,1	97	roupa
16/mai	loja02	14921	347	roupa
17/mai	loja02	19359	405	roupa
18/mai	loja02	13042,4	274	roupa
19/mai	loja02	2667,6	52	roupa
20/mai	loja02	14616,8	242	roupa
21/mai	loja02	9222,5	155	roupa
22/mai	loja02	24596	440	roupa
23/mai	loja02	2120,6	46	roupa
24/mai	loja02	6798	132	roupa
25/mai	loja02	16884	335	roupa
26/mai	loja02	4120	80	roupa
27/mai	loja02	26252,8	448	roupa
28/mai	loja02	22519,7	371	roupa
29/mai	loja02	2835,5	53	roupa
30/mai	loja02	25346	437	roupa
31/mai	loja02	9886,8	214	roupa
01/jun	loja02	6222	102	roupa
02/jun	loja02	22217,6	424	roupa
03/jun	loja02	3809,8	86	roupa
04/jun	loja02	12978,9	297	roupa
05/jun	loja02	19706,4	391	roupa
06/jun	loja02	21271,6	428	roupa
07/jun	loja02	24453	418	roupa
08/jun	loja02	17328	380	roupa
09/jun	loja02	12259,1	211	roupa
10/jun	loja02	15879	335	roupa
11/jun	loja02	12116,4	276	roupa
12/jun	loja02	10406	242	roupa
13/jun	loja02	19878,5	415	roupa
14/jun	loja02	17379,7	377	roupa
15/jun	loja02	7434	140	roupa
16/jun	loja02	22358,7	441	roupa
17/jun	loja02	6199,2	126	roupa
18/jun	loja02	19324,8	352	roupa
19/jun	loja02	13748,4	228	roupa
20/jun	loja02	23971,2	454	roupa
21/jun	loja02	8742,3	161	roupa
22/jun	loja02	12497,1	231	roupa
23/jun	loja02	9708,8	164	roupa
24/jun	loja02	13143,3	227	roupa
25/jun	loja02	12001,8	249	roupa
26/jun	loja02	21755	458	roupa
27/jun	loja02	11209,1	239	roupa
28/jun	loja02	11518,2	243	roupa
29/jun	loja02	12258	270	roupa
30/jun	loja02	12773,8	221	roupa
01/jul	loja02	25944,8	452	roupa
02/jul	loja02	3238,2	63	roupa
03/jul	loja02	8565,7	143	roupa
04/jul	loja02	27739,8	467	roupa
05/jul	loja02	17328	285	roupa
06/jul	loja02	8698,4	166	roupa
07/jul	loja02	16216,4	284	roupa
08/jul	loja02	11734,3	271	roupa
09/jul	loja02	16096,5	315	roupa
10/jul	loja02	19756,8	441	roupa
11/jul	loja02	10263,7	197	roupa
12/jul	loja02	7625,4	142	roupa
13/jul	loja02	14217,9	249	roupa
14/jul	loja02	18498,2	362	roupa
15/jul	loja02	16504,4	341	roupa
16/jul	loja02	17935,2	376	roupa
17/jul	loja02	3127	53	roupa
18/jul	loja02	20214,7	391	roupa
19/jul	loja02	7798,8	134	roupa
20/jul	loja02	3344	76	roupa
21/jul	loja02	24999,3	423	roupa
22/jul	loja02	13050	261	roupa
23/jul	loja02	14442,5	265	roupa
24/jul	loja02	7100,4	122	roupa
25/jul	loja02	15876	360	roupa
26/jul	loja02	24276	476	roupa
27/jul	loja02	13327,8	291	roupa
28/jul	loja02	19656	455	roupa
29/jul	loja02	17521,2	372	roupa
30/jul	loja02	25525,5	429	roupa
31/jul	loja02	23250,5	455	roupa
01/ago	loja02	14231,7	251	roupa
02/ago	loja02	26807,4	477	roupa
03/ago	loja02	17981,6	364	roupa
04/ago	loja02	14750,6	262	roupa
05/ago	loja02	16363,2	336	roupa
06/ago	loja02	10575,4	242	roupa
07/ago	loja02	3768	80	roupa
08/ago	loja02	7987,1	137	roupa
09/ago	loja02	5902,4	136	roupa
10/ago	loja02	13018,5	263	roupa
11/ago	loja02	8248,2	177	roupa
12/ago	loja02	2880,8	52	roupa
13/ago	loja02	5243,2	113	roupa
14/ago	loja02	7934,4	171	roupa
15/ago	loja02	4147,8	93	roupa
16/ago	loja02	7459,2	148	roupa
17/ago	loja02	13224,8	244	roupa
18/ago	loja02	2356,2	42	roupa
19/ago	loja02	23286,4	383	roupa
20/ago	loja02	12112,8	206	roupa
21/ago	loja02	7908,6	147	roupa
22/ago	loja02	9075,3	169	roupa
23/ago	loja02	10213,4	223	roupa
24/ago	loja02	6796,8	144	roupa
25/ago	loja02	17216,1	333	roupa
26/ago	loja02	3896,2	77	roupa
27/ago	loja02	9266,2	214	roupa
28/ago	loja02	7035,7	161	roupa
29/ago	loja02	21507,1	449	roupa
30/ago	loja02	14411,7	239	roupa
31/ago	loja02	12792	260	roupa
01/set	loja02	24897,6	468	roupa
02/set	loja02	14140	280	roupa
03/set	loja02	8834,7	147	roupa
04/set	loja02	12009,8	206	roupa
05/set	loja02	7345,8	154	roupa
06/set	loja02	11449,5	255	roupa
07/set	loja02	16387,5	375	roupa
08/set	loja02	11985,6	227	roupa
09/set	loja02	12426,6	278	roupa
10/set	loja02	15978,6	297	roupa
11/set	loja02	2025	45	roupa
12/set	loja02	17391	341	roupa
13/set	loja02	20837,6	427	roupa
14/set	loja02	11495,8	229	roupa
15/set	loja02	13185	225	roupa
16/set	loja02	3734,6	71	roupa
17/set	loja02	12320	280	roupa
18/set	loja02	11106,6	214	roupa
19/set	loja02	16645,3	301	roupa
20/set	loja02	5428,2	109	roupa
21/set	loja02	16159,3	283	roupa
22/set	loja02	2669,6	47	roupa
23/set	loja02	18737,4	334	roupa
24/set	loja02	18948,6	319	roupa
25/set	loja02	21312	370	roupa
26/set	loja02	8525,1	157	roupa
27/set	loja02	17117,4	282	roupa
28/set	loja02	18292,8	309	roupa
29/set	loja02	23684,4	459	roupa
30/set	loja02	22022	364	roupa
01/out	loja02	7015	115	roupa
02/out	loja02	23739,5	395	roupa
03/out	loja02	27245,1	461	roupa
04/out	loja02	19168,4	346	roupa
05/out	loja02	16238,4	272	roupa
06/out	loja02	17463,6	378	roupa
07/out	loja02	13710,8	302	roupa
08/out	loja02	14824,8	284	roupa
09/out	loja02	9241,6	152	roupa
10/out	loja02	23248,4	437	roupa
11/out	loja02	16850,4	357	roupa
12/out	loja02	6836,2	133	roupa
13/out	loja02	10638	197	roupa
14/out	loja02	23613,1	427	roupa
15/out	loja02	5720,4	126	roupa
16/out	loja02	2875	50	roupa
17/out	loja02	17539,2	336	roupa
18/out	loja02	12250,7	259	roupa
19/out	loja02	13245,7	299	roupa
20/out	loja02	20015,7	411	roupa
21/out	loja02	2618,7	43	roupa
22/out	loja02	19340,1	377	roupa
23/out	loja02	9604,8	174	roupa
24/out	loja02	11583,6	196	roupa
25/out	loja02	13389,5	305	roupa
26/out	loja02	18453,9	411	roupa
27/out	loja02	27993	465	roupa
28/out	loja02	9880	208	roupa
29/out	loja02	22720,5	405	roupa
30/out	loja02	16650	333	roupa
31/out	loja02	14064,9	271	roupa
01/nov	loja02	4966,2	89	roupa
02/nov	loja02	17459,2	341	roupa
03/nov	loja02	24752	455	roupa
04/nov	loja02	9231,6	157	roupa
05/nov	loja02	9785,1	169	roupa
06/nov	loja02	13722,9	307	roupa
07/nov	loja02	13260,8	224	roupa
08/nov	loja02	11712	192	roupa
09/nov	loja02	11875,5	195	roupa
10/nov	loja02	23685,1	433	roupa
11/nov	loja02	18297	321	roupa
12/nov	loja02	8856	164	roupa
13/nov	loja02	17447	365	roupa
14/nov	loja02	4040,4	78	roupa
15/nov	loja02	4702,5	99	roupa
16/nov	loja02	21411	390	roupa
17/nov	loja02	26980	475	roupa
18/nov	loja02	18605	305	roupa
19/nov	loja02	14466,6	282	roupa
20/nov	loja02	7196	140	roupa
21/nov	loja02	11445,6	251	roupa
22/nov	loja02	12938,4	216	roupa
23/nov	loja02	8854,8	157	roupa
24/nov	loja02	8265	150	roupa
25/nov	loja02	14790	290	roupa
26/nov	loja02	21109,8	453	roupa
27/nov	loja02	14720,4	261	roupa
28/nov	loja02	27370	476	roupa
29/nov	loja02	14637,4	326	roupa
30/nov	loja02	17560,8	324	roupa
01/dez	loja02	19404	440	roupa
02/dez	loja02	22394,4	372	roupa
03/dez	loja02	12811,2	272	roupa
04/dez	loja02	2025,3	43	roupa
05/dez	loja02	7261,1	161	roupa
06/dez	loja02	7398,2	142	roupa
07/dez	loja02	8554,4	148	roupa
08/dez	loja02	17344,8	292	roupa
09/dez	loja02	23079	471	roupa
10/dez	loja02	5808	132	roupa
11/dez	loja02	21684	417	roupa
12/dez	loja02	8452,5	175	roupa
13/dez	loja02	21170,1	357	roupa
14/dez	loja02	8508,5	143	roupa
15/dez	loja02	24610	460	roupa
16/dez	loja02	14405	335	roupa
17/dez	loja02	9199,6	211	roupa
18/dez	loja02	26888,2	466	roupa
19/dez	loja02	20056,4	377	roupa
20/dez	loja02	9495	211	roupa
21/dez	loja02	16545,2	311	roupa
22/dez	loja02	4552,6	103	roupa
